,description
22,"Spices, ground, savory delivers 272.0 calories. It contains 5.9 grams of fat, 0.0 grams of cholesterol, and 0.037880000000000004 grams of iron, as well as 0.0 grams of sugars and 68.73 grams of carbohydrates."
23,"Candies, sesame crunch equals 516.0 calories. Nutritionally, it includes 33.0 grams of fat, 0.0 grams of cholesterol, and 0.0042699999999999995 grams of iron, along with 31.17 grams of sugars and 50.3 grams of carbohydrates."
24,"Cheese, low fat, cream features 201.0 calories. The nutritional profile includes 15.0 grams of fat, 0.054 grams of cholesterol, and 0.00017 grams of iron, along with 5.82 grams of sugars and 8.13 grams of carbohydrates."
25,"PACE, Green Taco Sauce exhibits 25.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 6.25 grams of sugars and 6.25 grams of carbohydrates."
26,"Syrup, Canadian, maple encompasses 270.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 0.00011 grams of iron, along with 59.92 grams of sugars and 67.38 grams of carbohydrates."
27,"Ostrich, raw, top loin delivers 119.0 calories. Nutritionally, it has 3.0 grams of fat, 0.075 grams of cholesterol, and 0.00313 grams of iron. It also includes 0.0 grams of sugar and 0.0 grams of carbs."
28,"Chewing gum, sugarless carries 268.0 calories. It has 0.4 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 94.8 grams of carbohydrates."
29,"Nuts, dried, pine nuts displays 673.0 calories. Nutritionally, it includes 68.0 grams of fat, 0.0 grams of cholesterol, and 0.00553 grams of iron, along with 3.59 grams of sugars and 13.08 grams of carbohydrates."
30,"Pasta, unenriched, dry holds 371.0 calories. It contains 1.5 grams of fat, 0.0 grams of cholesterol, and 0.0013 grams of iron, along with 2.67 grams of sugars and 74.67 grams of carbohydrates."
31,"McDONALD'S, Side Salad boasts 20.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00065 grams of iron, as well as 2.24 grams of sugars and 4.3 grams of carbohydrates."
32,"Cookies, Marie biscuit gives you 406.0 calories. It contains 11.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. Additionally, it includes 21.16 grams of sugar and 70.54 grams of carbs."
33,"Broccoli, raw, chinese holds 30.0 calories. It contains 0.8 grams of fat, 0.0 grams of cholesterol, and 0.0005899999999999999 grams of iron, along with 0.88 grams of sugars and 4.67 grams of carbohydrates."
34,"McDONALD'S, Hash Brown yields 271.0 calories. Nutritionally, it includes 16.0 grams of fat, 0.0 grams of cholesterol, and 0.0005600000000000001 grams of iron, along with 0.54 grams of sugars and 28.56 grams of carbohydrates."
35,"Agave, raw (Southwest) totals 68.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0018 grams of iron, as well as 2.58 grams of sugars and 16.23 grams of carbohydrates."
36,"Emu, raw, outside drum serves up 103.0 calories. Nutritionally, it contains 0.5 grams of fat, 0.078 grams of cholesterol, and 0.0045 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
37,"Nuts, dried, beechnuts displays 576.0 calories. Nutritionally, it includes 50.0 grams of fat, 0.0 grams of cholesterol, and 0.00246 grams of iron, along with 0.0 grams of sugars and 33.5 grams of carbohydrates."
38,"Currants, dried, zante supplies 283.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00326 grams of iron, along with 67.28 grams of sugars and 74.08 grams of carbohydrates."
39,"Lentils, raw, sprouted is a food with 106.0 calories. It provides 0.6 grams of fat, 0.0 grams of cholesterol, and 0.00321 grams of iron. You can also find 0.0 grams of sugars and 22.14 grams of carbohydrates in it."
40,"Gravy, mix, dry, onion consists of 322.0 calories. It contains 3.0 grams of fat, 0.002 grams of cholesterol, and 0.001 grams of iron, along with 0.0 grams of sugars and 67.64 grams of carbohydrates."
41,"Pie, fruit, fried pies generates 316.0 calories. The nutritional breakdown includes 16.0 grams of fat, 0.0 grams of cholesterol, and 0.00122 grams of iron, along with 21.4 grams of sugars and 42.6 grams of carbohydrates."
42,"Snacks, cakes, popcorn has a calorie count of 384.0. It provides 3.1 grams of fat, 0.0 grams of cholesterol, and 0.0018700000000000001 grams of iron. It also contains 0.72 grams of sugar and 80.1 grams of carbs."
43,"Snack, Mixed Berry Bar indicates 383.0 calories. It contains 11.0 grams of fat, 0.0 grams of cholesterol, and 0.00189 grams of iron, as well as 26.32 grams of sugars and 58.84 grams of carbohydrates."
44,"Fish, raw, sheepshead produces 108.0 calories. It contains 2.4 grams of fat, 0.05 grams of cholesterol, and 0.00046 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
45,"Babyfood, pear, juice delivers 47.0 calories. Nutritionally, it has 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. It also includes 7.28 grams of sugar and 11.86 grams of carbs."
46,"For 43.0 calories, Brussels sprouts, raw provides 0.3 grams of fat, 0.0 grams of cholesterol, 0.0014 grams of iron, 2.2 grams of sugars, and 8.95 grams of carbohydrates."
47,"Broccoli raab, cooked amounts to 33.0 calories. It includes 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00127 grams of iron, along with 0.62 grams of sugars and 3.12 grams of carbohydrates."
48,"Butter oil, anhydrous gives you 876.0 calories. It contains 99.0 grams of fat, 0.256 grams of cholesterol, and 0.0 grams of iron. Additionally, it includes 0.0 grams of sugar and 0.0 grams of carbs."
49,"The food named Chicory, raw, witloof has 17.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, 0.00023999999999999998 grams of iron, 0.0 grams of sugar, and 4.0 grams of carbohydrates."
50,"KEEBLER, Waffle Cones indicates 424.0 calories. It contains 5.3 grams of fat, 0.0 grams of cholesterol, and 0.003 grams of iron, as well as 31.6 grams of sugars and 87.7 grams of carbohydrates."
51,"KEEBLER, Waffle Bowls generates 424.0 calories. The nutritional breakdown includes 5.3 grams of fat, 0.0 grams of cholesterol, and 0.003 grams of iron, along with 31.6 grams of sugars and 87.7 grams of carbohydrates."
52,"Broccoli, raw, leaves has a calorie count of 28.0. It provides 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00088 grams of iron. It also contains 1.48 grams of sugar and 5.06 grams of carbs."
53,"Durian, raw or frozen encompasses 147.0 calories. It contains 5.3 grams of fat, 0.0 grams of cholesterol, and 0.00043 grams of iron, along with 0.0 grams of sugars and 27.09 grams of carbohydrates."
54,"Tomatoes, raw, orange packs 16.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00047 grams of iron, as well as 0.0 grams of sugars and 3.18 grams of carbohydrates."
55,"Tomatoes, raw, yellow reflects 15.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00049 grams of iron, along with 0.0 grams of sugars and 2.98 grams of carbohydrates."
56,"Egg custards, dry mix carries 410.0 calories. It has 6.4 grams of fat, 0.258 grams of cholesterol, and 0.0019299999999999999 grams of iron, as well as 0.0 grams of sugars and 82.8 grams of carbohydrates."
57,"Peanut flour, low fat provides 428.0 calories. It contains 22.0 grams of fat, 0.0 grams of cholesterol, and 0.00474 grams of iron, as well as 0.0 grams of sugars and 31.27 grams of carbohydrates."
58,"Fish, smoked, haddock holds 116.0 calories. It contains 1.0 grams of fat, 0.077 grams of cholesterol, and 0.0014 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
59,"DENNY'S, french fries serves up 282.0 calories. Nutritionally, it contains 14.0 grams of fat, 0.0 grams of cholesterol, and 0.0007199999999999999 grams of iron, along with 0.85 grams of sugars and 35.2 grams of carbohydrates."
60,"Ground turkey, cooked registers 203.0 calories. It contains 10.0 grams of fat, 0.093 grams of cholesterol, and 0.00152 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
61,"MURRAY, Vanilla Wafer shows 461.0 calories. The nutritional breakdown includes 17.0 grams of fat, 0.001 grams of cholesterol, and 0.0 grams of iron, along with 31.5 grams of sugars and 72.9 grams of carbohydrates."
62,"WENDY'S, french fries signifies 301.0 calories. It contains 14.0 grams of fat, 0.0 grams of cholesterol, and 0.00093 grams of iron, as well as 0.4 grams of sugars and 39.73 grams of carbohydrates."
63,"Bread, toasted, wheat consists of 313.0 calories. It contains 4.3 grams of fat, 0.0 grams of cholesterol, and 0.00409 grams of iron, along with 6.42 grams of sugars and 55.77 grams of carbohydrates."
64,"Danish pastry, cheese is a food with 374.0 calories. It provides 22.0 grams of fat, 0.023 grams of cholesterol, and 0.0018 grams of iron. You can also find 6.95 grams of sugars and 37.2 grams of carbohydrates in it."
65,"With 500.0 calories, Nuts, glazed, walnuts offers 36.0 grams of fat, 0.0 grams of cholesterol, 0.0012900000000000001 grams of iron, 32.14 grams of sugars, and 47.59 grams of carbohydrates."
66,"Spices, garlic powder has 331.0 calories. It contains 0.7 grams of fat, 0.0 grams of cholesterol, 0.0056500000000000005 grams of iron, 2.43 grams of sugars, and 72.73 grams of carbohydrates."
67,"Oil, soybean lecithin supplies 763.0 calories. Nutritionally, it includes 100.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
68,"Egg, fresh, raw, yolk indicates 322.0 calories. It contains 27.0 grams of fat, 1.085 grams of cholesterol, and 0.00273 grams of iron, as well as 0.56 grams of sugars and 3.59 grams of carbohydrates."
69,"Fireweed, raw, leaves represents 103.0 calories. It contains 2.8 grams of fat, 0.0 grams of cholesterol, and 0.0024 grams of iron, as well as 0.0 grams of sugars and 19.22 grams of carbohydrates."
70,"Beef, pastrami, cured holds 147.0 calories. It contains 5.8 grams of fat, 0.068 grams of cholesterol, and 0.00222 grams of iron, along with 0.1 grams of sugars and 0.36 grams of carbohydrates."
71,"Frankfurter, meatless generates 233.0 calories. The nutritional breakdown includes 14.0 grams of fat, 0.0 grams of cholesterol, and 0.00141 grams of iron, along with 0.0 grams of sugars and 7.7 grams of carbohydrates."
72,"Emu, raw, flat fillet reveals 102.0 calories. It contains 0.7 grams of fat, 0.071 grams of cholesterol, and 0.005 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
73,"Emu, raw, inside drum accounts for 108.0 calories. Nutritionally, it contains 1.5 grams of fat, 0.067 grams of cholesterol, and 0.00523 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
74,"Ice creams, chocolate boasts 216.0 calories. The nutritional content includes 11.0 grams of fat, 0.034 grams of cholesterol, and 0.00093 grams of iron, as well as 25.36 grams of sugars and 28.2 grams of carbohydrates."
75,"Snacks, potato sticks supplies 522.0 calories. Nutritionally, it includes 34.0 grams of fat, 0.0 grams of cholesterol, and 0.00227 grams of iron, along with 0.22 grams of sugars and 53.3 grams of carbohydrates."
76,"With 36.0 calories, USDA Commodity, salsa offers 0.2 grams of fat, 0.0 grams of cholesterol, 0.0022400000000000002 grams of iron, 0.0 grams of sugars, and 7.0 grams of carbohydrates."
77,"Figs, uncooked, dried supplies 249.0 calories. Nutritionally, it includes 0.9 grams of fat, 0.0 grams of cholesterol, and 0.0020299999999999997 grams of iron, along with 47.92 grams of sugars and 63.87 grams of carbohydrates."
78,"Game meat, raw, horse indicates 133.0 calories. It contains 4.6 grams of fat, 0.052 grams of cholesterol, and 0.00382 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
79,"Syrup, fruit flavored gives you 261.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, and 2.9999999999999997e-05 grams of iron. Additionally, it includes 65.0 grams of sugar and 65.1 grams of carbs."
80,"Broccoli, raw, stalks serves up 28.0 calories. Nutritionally, it contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00088 grams of iron, along with 0.0 grams of sugars and 5.24 grams of carbohydrates."
81,"Cream, cultured, sour makes up 198.0 calories. The nutritional breakdown includes 19.0 grams of fat, 0.059 grams of cholesterol, and 7.000000000000001e-05 grams of iron, along with 3.41 grams of sugars and 4.63 grams of carbohydrates."
82,"Gravy, canned, au jus carries 16.0 calories. It has 0.2 grams of fat, 0.0 grams of cholesterol, and 0.0006 grams of iron, as well as 0.0 grams of sugars and 2.5 grams of carbohydrates."
83,"McDONALD'S, Hamburger indicates 264.0 calories. It contains 10.0 grams of fat, 0.027 grams of cholesterol, and 0.00287 grams of iron, as well as 6.03 grams of sugars and 30.28 grams of carbohydrates."
84,"Cheese, port de salut accounts for 352.0 calories. Nutritionally, it contains 28.0 grams of fat, 0.123 grams of cholesterol, and 0.00043 grams of iron, along with 0.57 grams of sugars and 0.57 grams of carbohydrates."
85,"SILK Original Creamer offers 100.0 calories. The nutritional breakdown includes 6.7 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 0.0 grams of sugars and 6.67 grams of carbohydrates."
86,"SILK Hazelnut Creamer generates 133.0 calories. The nutritional breakdown includes 6.7 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 20.0 grams of sugars and 20.0 grams of carbohydrates."
87,"Soup, mix, dry, onion yields 293.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00125 grams of iron, along with 4.65 grams of sugars and 65.07 grams of carbohydrates."
88,"Mushrooms, raw, enoki totals 37.0 calories. It contains 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00115 grams of iron, as well as 0.22 grams of sugars and 7.81 grams of carbohydrates."
89,"Bacon and beef sticks totals 517.0 calories. It contains 44.0 grams of fat, 0.102 grams of cholesterol, and 0.00186 grams of iron, as well as 0.8 grams of sugars and 0.8 grams of carbohydrates."
90,"The food item Salami, pork, Italian provides 425.0 calories. You can find 37.0 grams of fat, 0.08 grams of cholesterol, and 0.00152 grams of iron. It also contains 1.2 grams of sugars and 1.2 grams of carbohydrates."
91,"Crackers, whole-wheat totals 427.0 calories. It contains 14.0 grams of fat, 0.0 grams of cholesterol, and 0.0033399999999999997 grams of iron, as well as 1.19 grams of sugars and 69.55 grams of carbohydrates."
92,"The food item Peanuts, raw, spanish provides 570.0 calories. You can find 50.0 grams of fat, 0.0 grams of cholesterol, and 0.00391 grams of iron. It also contains 0.0 grams of sugars and 15.83 grams of carbohydrates."
93,"Hominy, white, canned holds 72.0 calories. It contains 0.9 grams of fat, 0.0 grams of cholesterol, and 0.00062 grams of iron, along with 1.82 grams of sugars and 14.26 grams of carbohydrates."
94,"Game meat, raw, moose reflects 102.0 calories. Nutritionally, it includes 0.7 grams of fat, 0.059 grams of cholesterol, and 0.00321 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
95,"Pears, red anjou, raw displays 62.0 calories. Nutritionally, it includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00019 grams of iron, along with 9.54 grams of sugars and 14.94 grams of carbohydrates."
96,"Horseradish, prepared serves up 48.0 calories. Nutritionally, it contains 0.7 grams of fat, 0.0 grams of cholesterol, and 0.00041999999999999996 grams of iron, along with 7.99 grams of sugars and 11.29 grams of carbohydrates."
97,"Fish, raw, butterfish serves up 146.0 calories. Nutritionally, it contains 8.0 grams of fat, 0.065 grams of cholesterol, and 0.0005 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
98,"Lebanon bologna, beef totals 172.0 calories. It contains 10.0 grams of fat, 0.055 grams of cholesterol, and 0.00215 grams of iron, as well as 0.0 grams of sugars and 0.44 grams of carbohydrates."
99,"Ham and cheese spread signifies 245.0 calories. It contains 19.0 grams of fat, 0.061 grams of cholesterol, and 0.00076 grams of iron, as well as 0.0 grams of sugars and 2.28 grams of carbohydrates."
100,"TACO BELL, Taco Salad signifies 170.0 calories. It contains 9.2 grams of fat, 0.019 grams of cholesterol, and 0.00177 grams of iron, as well as 0.0 grams of sugars and 15.1 grams of carbohydrates."
101,"The food named Sauce, worcestershire has 78.0 calories. It contains 0.0 grams of fat, 0.0 grams of cholesterol, 0.0053 grams of iron, 10.03 grams of sugar, and 19.46 grams of carbohydrates."
102,"Candies, marshmallows gives you 318.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00023 grams of iron. Additionally, it includes 57.56 grams of sugar and 81.3 grams of carbs."
103,"Hummus, home prepared serves up 177.0 calories. Nutritionally, it contains 8.6 grams of fat, 0.0 grams of cholesterol, and 0.00156 grams of iron, along with 0.27 grams of sugars and 20.12 grams of carbohydrates."
104,"Horned melon (Kiwano) contains 44.0 calories. In terms of nutrition, it has 1.3 grams of fat, 0.0 grams of cholesterol, and 0.00113 grams of iron. Additionally, it includes 0.0 grams of sugar and 7.56 grams of carbs."
105,"Ice cream sundae cone exhibits 254.0 calories. It contains 14.0 grams of fat, 0.015 grams of cholesterol, and 0.00035999999999999997 grams of iron, as well as 21.26 grams of sugars and 28.89 grams of carbohydrates."
106,"Peppers, raw, serrano reflects 32.0 calories. Nutritionally, it includes 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00086 grams of iron, along with 3.83 grams of sugars and 6.7 grams of carbohydrates."
107,"Cabbage, cooked, napa features 12.0 calories. The nutritional profile includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00074 grams of iron, along with 0.0 grams of sugars and 2.23 grams of carbohydrates."
108,"Peppers, dried, ancho totals 281.0 calories. It contains 8.2 grams of fat, 0.0 grams of cholesterol, and 0.01093 grams of iron, as well as 0.0 grams of sugars and 51.42 grams of carbohydrates."
109,"Parsley, freeze-dried consists of 271.0 calories. It contains 5.2 grams of fat, 0.0 grams of cholesterol, and 0.053899999999999997 grams of iron, along with 0.0 grams of sugars and 42.38 grams of carbohydrates."
110,"Spices, black, pepper is a food with 251.0 calories. It provides 3.3 grams of fat, 0.0 grams of cholesterol, and 0.009710000000000002 grams of iron. You can also find 0.64 grams of sugars and 63.95 grams of carbohydrates in it."
111,"Spices, white, pepper encompasses 296.0 calories. It contains 2.1 grams of fat, 0.0 grams of cholesterol, and 0.01431 grams of iron, along with 0.0 grams of sugars and 68.61 grams of carbohydrates."
112,"Yambean (jicama), raw makes up 38.0 calories. The nutritional breakdown includes 0.1 grams of fat, 0.0 grams of cholesterol, and 0.0006 grams of iron, along with 1.8 grams of sugars and 8.82 grams of carbohydrates."
113,"Nuts, dried, pilinuts provides 719.0 calories. It contains 80.0 grams of fat, 0.0 grams of cholesterol, and 0.0035299999999999997 grams of iron, as well as 0.0 grams of sugars and 3.98 grams of carbohydrates."
114,"The food item Kiwifruit, raw, green provides 61.0 calories. You can find 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00031 grams of iron. It also contains 8.99 grams of sugars and 14.66 grams of carbohydrates."
115,"Drumstick leaves, raw tallies 64.0 calories. The nutritional profile includes 1.4 grams of fat, 0.0 grams of cholesterol, and 0.004 grams of iron, along with 0.0 grams of sugars and 8.28 grams of carbohydrates."
116,"Yautia (tannier), raw holds 98.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00098 grams of iron, along with 0.0 grams of sugars and 23.63 grams of carbohydrates."
117,"Candies, butterscotch is a food with 391.0 calories. It provides 3.3 grams of fat, 0.009 grams of cholesterol, and 1e-05 grams of iron. You can also find 80.46 grams of sugars and 90.4 grams of carbohydrates in it."
118,"Cucumber, raw, peeled represents 12.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00022 grams of iron, as well as 1.38 grams of sugars and 2.16 grams of carbohydrates."
119,"Dandelion greens, raw holds 45.0 calories. It contains 0.7 grams of fat, 0.0 grams of cholesterol, and 0.0031 grams of iron, along with 0.71 grams of sugars and 9.2 grams of carbohydrates."
120,"With 36.0 calories, Melons, raw, honeydew offers 0.1 grams of fat, 0.0 grams of cholesterol, 0.00017 grams of iron, 8.12 grams of sugars, and 9.09 grams of carbohydrates."
121,"For 157.0 calories, Potato salad with egg provides 9.4 grams of fat, 0.017 grams of cholesterol, 0.0005 grams of iron, 4.95 grams of sugars, and 16.18 grams of carbohydrates."
122,"The food item Mushrooms, raw, white provides 22.0 calories. You can find 0.3 grams of fat, 0.0 grams of cholesterol, and 0.0005 grams of iron. It also contains 1.98 grams of sugars and 3.26 grams of carbohydrates."
123,"Mushrooms, raw, morel has 31.0 calories. It contains 0.6 grams of fat, 0.0 grams of cholesterol, 0.01218 grams of iron, 0.6 grams of sugars, and 5.1 grams of carbohydrates."
124,"Cheese, Mexican blend stands at 358.0 calories. It contains 29.0 grams of fat, 0.095 grams of cholesterol, and 0.0005899999999999999 grams of iron, as well as 1.23 grams of sugars and 1.75 grams of carbohydrates."
125,"Oranges, Florida, raw generates 46.0 calories. The nutritional breakdown includes 0.2 grams of fat, 0.0 grams of cholesterol, and 8.999999999999999e-05 grams of iron, along with 9.14 grams of sugars and 11.54 grams of carbohydrates."
126,"SILK Vanilla, soymilk registers 41.0 calories. It contains 1.4 grams of fat, 0.0 grams of cholesterol, and 0.00044 grams of iron, as well as 2.88 grams of sugars and 4.12 grams of carbohydrates."
127,"Papaya nectar, canned tallies 57.0 calories. The nutritional profile includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00034 grams of iron, along with 13.91 grams of sugars and 14.51 grams of carbohydrates."
128,"Fiddlehead ferns, raw gives you 34.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00131 grams of iron. Additionally, it includes 0.0 grams of sugar and 5.54 grams of carbs."
129,"For 94.0 calories, SILK Peach soy yogurt provides 1.2 grams of fat, 0.0 grams of cholesterol, 0.00064 grams of iron, 14.71 grams of sugars, and 18.82 grams of carbohydrates."
130,"The food item SILK Plain soy yogurt provides 66.0 calories. You can find 1.8 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron. It also contains 5.29 grams of sugars and 9.69 grams of carbohydrates."
131,"PACE, Enchilada Sauce yields 40.0 calories. Nutritionally, it includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0006 grams of iron, along with 6.67 grams of sugars and 8.33 grams of carbohydrates."
132,"Yeast extract spread contains 185.0 calories. It has 0.9 grams of fat, 0.0 grams of cholesterol, and 0.00404 grams of iron, plus 1.6 grams of sugars and 20.42 grams of carbohydrates."
133,"Tomatoes, raw, green reveals 23.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00051 grams of iron, as well as 4.0 grams of sugars and 5.1 grams of carbohydrates."
134,"With 90.0 calories, Mollusks, raw, snail offers 1.4 grams of fat, 0.05 grams of cholesterol, 0.0035 grams of iron, 0.0 grams of sugars, and 2.0 grams of carbohydrates."
135,"Emu, raw, fan fillet encompasses 103.0 calories. It contains 0.8 grams of fat, 0.071 grams of cholesterol, and 0.0045 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
136,"Pasta, enriched, dry indicates 371.0 calories. It contains 1.5 grams of fat, 0.0 grams of cholesterol, and 0.0033 grams of iron, as well as 2.67 grams of sugars and 74.67 grams of carbohydrates."
137,"Cookies, gingersnaps indicates 416.0 calories. It contains 9.8 grams of fat, 0.0 grams of cholesterol, and 0.0064 grams of iron, as well as 19.92 grams of sugars and 76.9 grams of carbohydrates."
138,"Sour cream, fat free delivers 74.0 calories. Nutritionally, it has 0.0 grams of fat, 0.009 grams of cholesterol, and 0.0 grams of iron. It also includes 0.39 grams of sugar and 15.6 grams of carbs."
139,"MURRAY, Honey Graham shows 445.0 calories. The nutritional breakdown includes 13.0 grams of fat, 0.0 grams of cholesterol, and 0.0038 grams of iron, along with 22.0 grams of sugars and 75.7 grams of carbohydrates."
